dataset,Outside Temperature,Avg. Temperature,Temperature difference,RH,va,Tg,Age,Male,Female,Height,Weight,Well-being,Duration,Icl,Alley,Window,y
November,5.6,11.975,1.87,72.59,0.01,12.030000000000001,35,0,1,176.0,67.0,0.0,7.5,1.1129,1,0,0
November,5.9,11.0,2.58,84.67,0.03,10.13,27,0,1,160.0,60.0,1.0,7.5,1.2298,0,1,1
November,5.9,12.120000000000001,2.05,73.035,0.0,12.125,55,0,1,170.0,74.0,1.0,7.5,0.9793,1,0,0
November,6.0,11.51,2.42,78.53,0.12,10.5,26,1,0,190.0,90.0,0.0,7.5,1.23815,1,0,1
November,6.0,11.51,2.42,78.53,0.12,10.5,85,0,1,163.0,76.0,1.0,7.5,1.28825,0,1,-1
November,6.0,11.184999999999999,1.605,82.245,0.04,10.94,83,0,1,157.0,53.0,-1.0,22.5,1.1964,0,1,-1
November,6.0,11.27,1.74,82.69,0.07,11.0,86,0,1,164.0,61.0,0.0,22.5,1.2465,1,0,-1
November,6.1,11.415,1.8599999999999999,83.11,0.03,11.065000000000001,83,0,1,169.0,70.0,-1.0,22.5,1.1129,1,0,-1
November,6.3,11.76,2.83,86.16,0.06,10.69,49,0,1,160.0,50.0,0.0,22.5,1.0795,1,0,0
November,6.3,12.45,2.63,79.76,0.11,11.12,71,0,1,162.0,51.0,1.0,22.5,1.15465,1,0,0
November,6.2,11.86,2.74,85.8,0.06,10.69,52,1,0,186.0,95.0,1.0,22.5,1.07115,0,1,0
November,6.3,14.555,2.825,68.695,0.02,13.934999999999999,35,1,0,177.0,78.0,1.0,7.5,1.30495,0,1,1
November,6.3,13.635000000000002,3.24,75.935,0.03,12.97,35,1,0,173.0,65.0,1.0,7.5,1.2632,1,0,-1
November,6.4,14.61,4.79,77.09,0.1,12.63,47,1,0,183.0,90.0,-1.0,7.5,1.33835,1,0,1
November,6.4,14.61,4.79,77.09,0.1,12.63,60,0,1,178.0,84.0,0.0,7.5,1.07115,0,1,0
November,6.8,13.54,4.77,74.15,0.35,13.56,23,0,1,168.0,72.0,1.0,22.5,1.15465,0,1,-1
November,6.8,13.805,3.29,75.38,0.03,13.184999999999999,33,0,1,172.0,62.0,1.0,7.5,1.30495,1,0,-1
November,6.8,15.48,5.44,75.4,0.1,12.88,45,1,0,175.0,130.0,1.0,22.5,0.8958,1,0,1
November,6.8,15.225,3.0250000000000004,72.20500000000001,0.01,14.84,34,1,0,165.0,62.0,-1.0,7.5,1.25485,0,1,0
November,6.4,14.5,2.96,72.59,0.09,13.31,77,0,1,170.0,57.0,0.0,7.5,1.33,1,0,1
November,6.5,13.11,2.3,73.08500000000001,0.03,12.94,25,1,0,198.0,98.0,2.0,7.5,0.9793,0,1,0
November,6.5,12.52,2.63,72.93,0.09,12.0,63,0,1,172.0,63.0,1.0,7.5,1.163,0,1,0
November,6.6,12.18,2.86,76.62,0.07,11.69,27,1,0,183.0,110.0,0.0,7.5,0.8624,1,0,0
November,6.6,12.7,2.41,73.9,0.1,12.06,85,0,1,160.0,62.0,0.0,7.5,1.10455,0,1,-1
November,6.6,13.785,2.46,66.03,0.01,13.94,14,0,1,153.0,50.0,1.0,7.5,1.2465,0,1,0
November,6.7,12.75,2.1500000000000004,73.525,0.05,12.530000000000001,53,0,1,173.0,69.0,-1.0,7.5,1.33835,1,0,-1
November,6.7,12.04,2.83,76.94,0.09,11.56,18,0,1,158.0,60.0,1.0,7.5,1.1964,0,1,-1
November,6.7,12.08,2.82,77.24,0.07,11.56,31,1,0,177.0,72.0,1.0,7.5,1.05445,0,1,0
November,6.8,12.52,2.135,74.52,0.03,12.435,20,1,0,175.0,65.0,0.0,22.5,1.1296,0,1,-1
November,7.0,12.235,1.885,75.695,0.03,12.219999999999999,41,0,1,177.0,60.0,0.0,22.5,1.2799,0,1,-1
November,7.0,12.2,3.28,73.31,0.27,12.69,66,0,1,162.0,62.0,1.0,7.5,1.15465,0,1,0
November,7.4,13.445,2.2800000000000002,68.03999999999999,0.0,13.690000000000001,20,1,0,186.0,75.0,1.0,22.5,1.22145,0,1,1
November,7.2,12.8,2.41,76.03,0.06,12.0,23,1,0,168.0,72.0,1.0,22.5,1.15465,1,0,-1
November,7.3,15.476,6.9,69.79,0.02,13.06,24,1,0,190.0,79.0,1.0,7.5,0.98765,0,1,0
November,7.3,14.24,3.21,71.43,0.09,13.06,23,0,1,168.0,75.0,1.0,7.5,1.15465,1,0,-1
November,7.5,16.15,6.61,71.8,0.12,13.94,29,0,1,175.0,69.0,1.0,7.5,1.35505,1,0,1
November,7.6,16.705,3.3200000000000003,63.86,0.02,16.375,24,1,0,177.0,75.0,1.0,7.5,0.97095,0,1,1
November,7.6,16.7,7.22,72.51,0.2,14.06,48,0,1,163.0,53.0,1.0,7.5,1.4803,1,0,0
November,7.6,17.31,7.83,69.44,0.02,14.38,31,0,1,168.0,60.0,1.0,22.5,1.23815,0,1,1
November,7.6,16.89,7.37,73.32,0.14,14.13,70,1,0,173.0,85.0,1.0,7.5,0.9626,0,1,1
November,7.4,17.05,7.58,70.59,0.12,14.06,49,0,1,166.0,50.0,1.0,7.5,1.1964,0,1,0
November,7.3,15.945,4.715,69.67,0.04,14.875,19,1,0,170.0,70.0,0.0,7.5,1.00435,1,0,-1
November,7.5,16.66,4.154999999999999,63.15,0.02,16.97,55,1,0,186.0,79.0,1.0,7.5,0.9793,1,0,0
November,7.8,17.8,7.58,70.43,0.16,14.63,32,1,0,181.0,68.0,2.0,7.5,1.5304,0,1,0
November,7.7,16.46,5.97,71.02,0.16,14.63,25,1,0,162.0,70.0,1.0,22.5,1.163,0,1,0
November,7.7,16.17,4.59,70.5,0.07,15.22,40,0,1,156.0,73.0,-1.0,22.5,1.2298,0,1,0
November,7.5,18.270000000000003,4.12,60.075,0.02,18.155,25,0,1,168.0,60.0,1.0,7.5,1.17135,1,0,0
November,7.5,14.785,4.005,60.58,0.02,18.215,26,1,0,185.0,70.0,1.0,7.5,1.22145,1,0,0
November,7.6,16.87,5.51,68.73,0.27,15.63,30,0,1,178.0,70.0,1.0,7.5,1.4302,1,0,0
November,7.9,17.57,4.46,67.29,0.07,15.69,16,1,0,193.0,90.0,2.0,22.5,0.8624,1,0,1
November,8.1,19.244999999999997,4.215,60.255,0.03,19.0,33,0,1,173.0,61.0,0.0,22.5,1.27155,1,0,1
November,7.9,19.45,4.57,58.989999999999995,0.03,19.185000000000002,37,0,1,160.0,71.19166666666666,1.0,7.5,1.4302,1,0,-1
March,7.9,12.375,1.52,45.230000000000004,0.03,12.434999999999999,18,0,1,169.0,70.0,0.0,5.0,1.02105,0,1,-1
March,7.9,11.86,1.51,45.21,0.03,11.44,35,1,0,189.0,85.0,1.0,7.5,0.8457,1,0,-1
